"2020
rank",City,State[c],"2020
census","2010
census",Change,2016 land area,,2016 population density,,Location,CIT program,Start,Source,Other programs,
101,Hialeah,Florida,"223,109","224,669",−0.69%,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25.86°N 80.30°W,,unclear,,,
102,San Bernardino,California,"222,101","209,924",0.058,61.5 sq mi,159.3 km2,"3,516/sq mi","1,358/km2",34.14°N 117.29°W,,1988,,,
103,Tacoma,Washington,"219,346","198,397",0.1056,49.7 sq mi,128.7 km2,"4,251/sq mi","1,641/km2",47.25°N 122.45°W,ALL OF WASHINGTON,2015,https://www.khi.org/news/article/washington-state-takes-lead-on-police-mental-health-training,,
104,Modesto,California,"218,464","201,165",0.086,43.0 sq mi,111.4 km2,"4,934/sq mi","1,905/km2",37.63°N 121.00°W,,unclear,,,
105,Huntsville,Alabama,"215,006","180,105",0.1938,213.4 sq mi,552.7 km2,905/sq mi,349/km2,34.69°N 86.67°W,,2020,,,
106,Des Moines,Iowa,"214,133","203,433",0.0526,88.9 sq mi,230.2 km2,"2,424/sq mi",936/km2,41.57°N 93.61°W,,2015,https://www.naco.org/articles/counties-step-polk-county-iowa,,
107,Yonkers,New York,"211,569","195,976",0.0796,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2",40.94°N 73.86°W,,unclear,,,
108,Rochester,New York,"211,328","210,565",0.0036,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2",43.16°N 77.61°W,,2020,,,
109,Moreno Valley,California,"208,634","193,365",0.079,51.3 sq mi,132.9 km2,"4,006/sq mi","1,547/km2",33.92°N 117.20°W,,unclear,,,
110,Fayetteville,North Carolina,"208,501","200,564",0.0396,147.7 sq mi,382.5 km2,"1,386/sq mi",535/km2,35.08°N 78.97°W,,2005,,,
111,Fontana,California,"208,393","196,069",0.0629,43.0 sq mi,111.4 km2,"4,876/sq mi","1,883/km2",34.10°N 117.46°W,,,,,
112,Columbus[t],Georgia,"206,922","189,885",0.0897,216.4 sq mi,560.5 km2,913/sq mi,353/km2,32.51°N 84.87°W,ALL OF GEORGIA,2004,https://pubmed.ncbi.nlm.nih.gov/18354122/,,
113,Worcester,Massachusetts,"206,518","181,045",0.1407,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2",42.26°N 71.80°W,,unclear,,,
114,Port St. Lucie,Florida,"204,851","164,603",0.2445,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2,27.28°N 80.38°W,,not mandated,,,
115,Little Rock,Arkansas,"202,591","193,524",0.0469,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2,34.72°N 92.35°W,ARKANSAS AGENCIES > 10,,https://www.kark.com/news/local-news/enhanced-crisis-intervention-training-for-mental-illness-to-expand-statewide/,ALETA,2017
116,Augusta[u],Georgia,"202,081","195,844",0.0318,302.5 sq mi,783.5 km2,652/sq mi,252/km2,33.36°N 82.07°W,,2004,,,
117,Oxnard,California,"202,063","197,899",0.021,26.9 sq mi,69.7 km2,"7,729/sq mi","2,984/km2",34.20°N 119.20°W,,LA,,,
118,Birmingham,Alabama,"200,733","212,237",−5.42%,146.1 sq mi,378.4 km2,"1,452/sq mi",561/km2,33.52°N 86.79°W,,2001,,,
119,Montgomery,Alabama,"200,603","205,764",−2.51%,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2,32.34°N 86.26°W,,2001,,,
120,Frisco,Texas,"200,509","116,989",0.7139,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2,33.15°N 96.82°W,,dallas,,,
121,Amarillo,Texas,"200,393","190,695",0.0509,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,35.19°N 101.83°W,,2007,,,
122,Salt Lake City,Utah,"199,723","186,440",0.0712,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2,40.77°N 111.93°W,,2001,,,
123,Grand Rapids,Michigan,"198,917","188,040",0.0578,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2",42.96°N 85.65°W,,2017,https://www.wzzm13.com/article/news/dealing-with-mentally-ill-people-is-focus-of-police-training-exercise/69-603492167,,
124,Huntington Beach,California,"198,711","189,992",0.0459,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2",33.69°N 118.00°W,,LA,,,
125,Overland Park,Kansas,"197,238","173,372",0.1377,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2,38.88°N 94.69°W,,2020,,,
126,Glendale,California,"196,543","191,719",0.0252,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2",34.18°N 118.24°W,,LA,,,
